# name: m
# type: matrix
# rows: 18
# columns: 2
 33060 68.4604624558824
 33065 65.9205731911764
 33068 65.017275132353
 33069 64.6779769411764
 33075 69.507565867647
 33076 69.48381075
 33077 68.7105877794117
 33078 68.8513259558824
 33082 65.2235021764706
 33089 64.0987733970589
 33092 62.9296644705883
 33096 61.5324926470589
 33099 60.9259243088236
 33103 59.6789256029411
 33106 58.840357367647
 33110 80.6793563529411
 33112 78.4279033970589
 33117 81.4315722647059
